id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
X02M4i,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,RASSF4,Inverse variance weighted,35,-0.139582563,0.0671857544716123,0.0377497297627752,-0.271266642,-0.007898484,0.869721213676405,0.762413178305395,0.992132627088153
MPkabH,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,SRGN,Inverse variance weighted,23,-0.202081496,0.0890873511266717,0.0233077439335784,-0.376692704,-0.027470288,0.817028340775308,0.686126885481978,0.972903589342858
MI6Od3,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,SULF2,Inverse variance weighted,77,0.106229620418513,0.0324660768080974,0.00106782396809857,0.0425961098746425,0.169863130962384,1.11207720282407,1.04351634377928,1.18514263088781
k2NJJi,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,TACC1,Inverse variance weighted,31,-0.186871652,0.0795385371871728,0.0188012730442339,-0.342767185,-0.03097612,0.829550200331078,0.70980344501113,0.969498724901992
jabd0t,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,TYMP,Inverse variance weighted,55,-0.074339892,0.0348367807105088,0.0328470065113701,-0.142619982,-0.006059802,0.928356099600839,0.867083513658286,0.993958521976619
nyEhyC,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,ARID5A,Inverse variance weighted,15,-0.438161377,0.104795253087566,2.90078561142276e-05,-0.643560073,-0.232762681,0.645221650519273,0.525418562014507,0.792341588966018
xZJBbR,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,DAPK1,Inverse variance weighted,51,-0.082124138,0.0387535193119524,0.0340786254316917,-0.158081036,-0.00616724,0.921157600671276,0.85378059208236,0.993851737956358
t302J6,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,FCER1G,Inverse variance weighted,36,-0.067001328,0.0329060667663751,0.0417363923377646,-0.131497219,-0.002505437,0.935193959185828,0.876781713385993,0.997497698623461
xHmAXC,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,HCK,Inverse variance weighted,11,0.397405247829634,0.140112353136027,0.00456348812217284,0.12278503568302,0.672025459976247,1.48795879996146,1.13064134727738,1.95819956143847
Yz0vct,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,LYZ,Inverse variance weighted,91,-0.105641477,0.0287812830825149,0.000242083802227779,-0.162052792,-0.049230162,0.899747170543954,0.85039630958763,0.95196199909947
vu1NCQ,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,ORAI1,Inverse variance weighted,25,0.140108519525437,0.0691249317242355,0.042673831155385,0.00462365334593537,0.275593385704939,1.15039863279734,1.00463435892434,1.31731211717562
WcWmE4,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,PCSK7,Inverse variance weighted,34,-0.164195341,0.0653876155730369,0.0120352993246611,-0.292355067,-0.036035614,0.848576244006717,0.746503429830697,0.964605938991945
gTMu2B,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,PLA2G16,Inverse variance weighted,70,-0.071130607,0.0321206263701315,0.0267955162645637,-0.134087034,-0.008174179,0.931340245026848,0.874513948618697,0.991859138869914
Uf1W8D,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,RNASET2,Inverse variance weighted,64,0.0817820767157878,0.0281497305543261,0.00366956868300251,0.0266086048293087,0.136955548602267,1.08521928950718,1.02696577464803,1.14677717153924
kGJ5JT,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,SYTL3,Inverse variance weighted,10,0.298725460950544,0.111749094225663,0.00751358879151804,0.0796972362682443,0.517753685632844,1.34813945573777,1.08295913728501,1.67825352734304
ya1kUN,8DpArM,finn-b-C3_COLON_ADENO_EXALLC.vcf,TNFRSF11A,Inverse variance weighted,3,0.693844350179666,0.341704990502511,0.0423020662074517,0.0241025687947449,1.36358613156459,2.00139482539789,1.02439538350213,3.91019064673589
ibKoSu,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,ACTN1,Inverse variance weighted,7,-0.408197159,0.206081714375193,0.0476188792533807,-0.812117319,-0.004276999,0.664847785241488,0.44391715620823,0.9957321346084
prTgGt,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,ADCY3,Inverse variance weighted,10,0.343065322011196,0.137631181946902,0.0126796469520895,0.0733082053952671,0.612822438627124,1.4092608146706,1.07606213396741,1.84563324093902
uvOPJ5,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,ATXN1,Inverse variance weighted,13,0.295959884531669,0.11080005217491,0.00755993284150171,0.078791782268846,0.513127986794491,1.34441622386383,1.08197901139938,1.6705083591692
F2Sk8h,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,CCR6,Inverse variance weighted,17,-0.329863103,0.113667032051557,0.00370774211653256,-0.552650486,-0.10707572,0.719022158623095,0.575422637818744,0.898457638981291
9G3Zfk,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,GALNT7,Inverse variance weighted,3,-0.811055957,0.37189179370094,0.029191381901362,-1.539963872,-0.082148041,0.444388563276749,0.21438884664103,0.921135582681841
rfTslk,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,LILRB1,Inverse variance weighted,19,-0.143696121,0.0686656378197734,0.0363765413372606,-0.278280771,-0.00911147,0.866150913565219,0.757084224646453,0.990929913273788
jmutRX,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,LY9,Inverse variance weighted,11,-0.297110523,0.115880206330577,0.0103489820860916,-0.524235727,-0.069985318,0.742961893551374,0.592007646813423,0.932407508991871
RsV7nk,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,PDGFB,Inverse variance weighted,22,-0.407296552,0.0783476646830796,2.0081739172443e-07,-0.560857975,-0.253735129,0.665446821368108,0.570719190985847,0.775897287252603
Ud0daW,i2AJtR,finn-b-C3_COLON_ADENO_EXALLC.vcf,TP53I13,Inverse variance weighted,6,-0.384403315,0.191125181576884,0.044297513815187,-0.759008671,-0.009797959,0.680856772044958,0.468130268222032,0.990249884503543
m3SNEZ,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,DNASE2,Inverse variance weighted,44,0.14761254253395,0.0455042025292484,0.00117891852586258,0.0584243055766234,0.236800779491277,1.159063721,1.0601647340991,1.26718864266097
og52rW,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,FAM102B,Inverse variance weighted,5,0.464015061785031,0.203824915947382,0.0228138596233103,0.0645182265281627,0.8635118970419,1.59044692522933,1.06664501930296,2.37147446075775
WgupBJ,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,FAM129B,Inverse variance weighted,11,-0.254396747,0.122228045326776,0.037403823371169,-0.493963716,-0.014829779,0.775384109341605,0.610202923112575,0.985279640996665
eh1Hyh,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,GZMK,Inverse variance weighted,11,0.450632284201507,0.181581333374297,0.0130753491703426,0.0947328707878844,0.80653169761513,1.56930411806669,1.09936514335378,2.24012506660724
xSaSvE,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,IL4R,Inverse variance weighted,17,-0.300131563,0.124740690326753,0.0161263317296685,-0.544623316,-0.05563981,0.740720762904409,0.580060241643007,0.945879771114122
ysILz1,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,LAIR2,Inverse variance weighted,21,0.237148656662809,0.0697119164059071,0.000669342655420976,0.100513300507231,0.373784012818387,1.26762954534732,1.10573834848717,1.453223239
lrDqMN,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,RHOH,Inverse variance weighted,5,-1.295334689,0.346904275789846,0.00018847517713724,-1.97526707,-0.615402308,0.273806209077849,0.13872425827521,0.540423434673211
L2Zj6j,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,SPP1,Inverse variance weighted,51,0.0975126048048851,0.0412070104224622,0.0179616311208859,0.0167468643768593,0.178278345232911,1.10242533733203,1.01688787919564,1.19515794145661
rQ1I7X,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,SYT11,Inverse variance weighted,11,0.454307179483057,0.220616026748287,0.0394687217658318,0.0218997670564148,0.8867145919097,1.57508175597044,1.02214132710175,2.42714238453249
ZtSuyR,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,SYTL2,Inverse variance weighted,40,-0.14130119,0.0525604291809427,0.00718046145725113,-0.244319631,-0.038282749,0.868227770717853,0.78323724712659,0.962440773355941
dLYh3X,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,TRPM2,Inverse variance weighted,9,0.328071756238523,0.129102285936355,0.0110479982413014,0.0750312758032678,0.581112236673779,1.38828858708237,1.07791786310447,1.78802603333087
x1D0Yx,8Iey4L,finn-b-C3_COLON_ADENO_EXALLC.vcf,VPREB3,Inverse variance weighted,5,0.44719901241035,0.228073977630821,0.0499066782194763,0.000174016253941311,0.894224008566758,1.56392550890324,1.00017403139565,2.44543741451203
